ID,Title,Year,Rank,Poster
c12be7ea-ffea-42e0-958e-4e85d68de859,Let It Snow,2019,70/30,/rEVu3E1OhMPJeCAn9a6QLyVhZDj.jpg
bd31ae9a-8655-44c3-b3d3-3ca6c8d69eef,Life as We Know It,2010,65/35,
3045fc1d-0a41-4954-b2e7-4d71d3427e20,Little Italy,2018,80/20,/vdSSmzYKqViKH7mkQwgOVSALrOO.jpg
b50e1cac-07ef-47c1-a616-08f0e0e2600e,Love Actually,2003,70/30,/1ODdWLpyOnIVl0l67GrdaFDlJGf.jpg
894f5f52-0639-483c-a3c0-f25dc8d0fa47,Love Again,2023,85/15,/koswMk0y7jGcyofV1sBccnNtY0B.jpg
85320f74-90c7-487a-84ca-9fcd257cad82,Love at First Sight,2023,90/10,/vCMGlarDrcmhclBmnYoH7JUCDuA.jpg
aec81cc5-4113-42cf-9302-dc7e70e34739,Love & Basketball,2000,75/25,/zNZWNX19FZ5QyedprVM0ldsXFiP.jpg
3094ac58-b495-432e-af78-1e46d26639a0,Love & Gelato,2022,80/20,/AbGBTH3bWaiJpjCOJ9RSoQ9NPRT.jpg
926add20-e9cc-45da-9f57-ed18cc855246,Love Hard,2021,55/45,/oTkAFDZRLnqrXOrOwuy3Tvul0v5.jpg
11f1d6bc-755b-42bc-876d-a97c877f7440,Love in the Villa,2022,75/25,/t92CXfEP5aWBATeOomcF0wF9NsM.jpg
b7a2a419-8675-477d-83e6-a5b872946841,"Love, Rosie",2014,65/35,/rpD0t7DhzJVadnzgxSYrqljQTL2.jpg
13251381-21ab-4d6e-a2cc-431cf73e6480,Made of Honor,2008,70/30,/pDg8D0jNqmz7RbCBgblWvmPswHE.jpg
2cc40212-b1eb-4f95-b80b-b6cc0d3fb64f,Maid in Manhattan,2002,65/35,/a0xOVDKEWW1nyArKFS3Fg1b4PsE.jpg
60b19343-c7e4-4b56-af25-0de720103711,Mamma Mia!,2008,40/60,/zdUA4FNHbXPadzVOJiU0Rgn6cHR.jpg
603f2ba8-ffaf-4422-8799-2f1bb03a3441,Mamma Mia! Here We Go Again,2018,45/55,/aWicerX4Y7n7tUwRAVHsVcBBpj2.jpg
e9702038-8031-4286-a56c-24d76824fb96,Man Up,2015,55/45,/5tzWSEM6yNll5x0kQHuoeizPbGq.jpg
d4ecacac-65a5-4efe-9d05-1cbd305dd557,Marry Me,2022,75/25,/ko1JVbGj4bT8IhCWqjBQ6ZtF2t.jpg
74989c5c-86ac-491a-b2b5-fe10478d7c93,Meet Cute,2022,60/40,/9rp4nj7L3V5tPm2pWks4sX8NVKY.jpg
ffff6be9-92bf-4570-9a8f-8eb860f0f313,Music & Lyrics,2007,50/50,
241df5d1-893e-44bc-afd1-8b9067d58cd6,My Best Friend's Wedding,1997,55/45,/b5g4bp8gS5ovMyR5439AII6zQ3n.jpg
863ad437-eb1b-4303-a393-4378f9ceba07,My Big Fat Greek Wedding,2002,35/65,/ztc05ym0T3stnBpRHdxEs3Zwsmp.jpg
6b739831-9e18-4a3a-a9d6-889f133a37c3,No Strings Attached,2010,70/30,
f04abe90-6231-4639-9bd9-26e4e26ec317,One Day,2011,80/20,/n9jMwSg4IavdD8wqdYnyW5w3Mvp.jpg
4eec8ed5-3c69-447f-9c04-a1d49d27f2c1,Only You,1994,75/25,/7mLLANXgUg3bibTiUitDlB0NZcU.jpg
9047c671-a137-49ad-b66b-cc4807e5392b,Palm Springs,2020,30/70,/yf5IuMW6GHghu39kxA0oFx7Bxmj.jpg
e0967268-5396-4b13-aa57-4af6613c6bd3,Perfect Find,2023,65/35,
b0002487-c98f-4dc0-858c-670aea2cc4e2,Plus One,2019,60/40,/4w3bCp5UkLeemdq8MBNlyA3Zl2J.jpg
41283a38-2d26-4a3f-9f8d-29d10bafd444,Puppy Love,2023,70/30,/oTc03izWZ9UdD3y0HegVV2M0s0J.jpg
aa1cdb5a-8c19-4d53-80a9-9c17b4de6da6,Pretty Woman,1990,65/35,/dZXpE4BlesBJwLl53jUJ9mT1Jxr.jpg
28f05fae-f5d8-4db2-bad1-4769e00e6df3,Princess Diaries,2001,40/60,
f72930cd-1bbc-42b6-819e-a3f331550c30,Princess Diaries 2,2004,45/55,
94df64c9-cb45-4975-ba60-d67319fbe36a,"Red, White & Royal Blue",2023,75/25,/dD3vhyDRCCT90hf4rldHU6Wu3Va.jpg
e0476662-5ab3-44f2-8b49-40711b737ca6,Rumor Has It...,2005,50/50,/ypirKAqugrpevnEqMJxkBoIlgco.jpg
9af01c99-7b57-4e9e-8327-448c596a48c2,Rye Lane,2023,45/55,/int5eEKNc8g0V5i3XYaPeaC6paD.jpg
2937f1a2-2e96-453c-a623-e74b7e40138e,Set It Up,2018,60/40,/2HiCq8sPNRGjFaFCyKJh0607Hso.jpg
b593ea17-79f2-479a-986b-fffcf4f88b0d,She's All That,1999,55/45,/a0pepZNFCjggc7Na9gEwbTI1f46.jpg
b8ce34ed-4137-41c4-a327-1462dff00bbb,She's The Man,2006,30/70,
85047d8a-947b-4fc3-bb4c-76306fec42e4,Shotgun Wedding,2022,40/60,/t79ozwWnwekO0ADIzsFP1E5SkvR.jpg
009478e4-0a43-49ae-8395-b64708f95b03,Single All the Way,2021,55/45,/bfZPNzAwUQZ6FZQi1d136KLr3wl.jpg
98d1aa43-762d-4de4-815c-9ed772473c46,Sleeping with Other People,2015,65/35,/thYomS3wTYDTRZaM98ADMfBiDxm.jpg
cb1545c0-0053-4a0f-9907-3f4c06b04d00,Someone Great,2019,70/30,/h0nz5lIBXeUZChBNfwL08bLWQaU.jpg
fd270fc8-0bce-4b78-9594-e57b20c8e056,Something Borrowed,2011,75/25,/ePBBKnOkxsK2Ijdnt5EN7sHSSWO.jpg
81738ce5-a375-434a-bdbf-06bfa68ead42,Something's Gotta Give,2003,50/50,/4fQJjwbDf1KELvJJMcmAV6AxJdH.jpg
c704ea7f-6508-4d74-8ba7-ec118c5d9db6,Summer Catch,2001,50/50,/jrygCcE86fISn08jIbBVb5dqwhH.jpg
1e98a8ad-350b-41c8-8cfa-8e87d2d99508,Sweet Home Alabama,2002,80/20,/698cbxq0SRwCdOPG5Bwi7JDk12d.jpg
31464bda-8c86-41f8-a6d9-e89d3b495e35,Sydney White,2007,45/55,/ce3NNmhVZY5NkUe5Y8Je8CciKqf.jpg
1647e8af-74a1-498d-a104-f73d6c9f2eb5,Taylor Swift x Travis Kelce: On The Map,2023,90/10,
642dbc68-f5be-4fc3-b4ee-6b9ef752b5a4,The American President,1995,70/30,/yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg
c3271adc-bc31-4c77-b51d-6267bd5abe66,The Big Wedding,2013,35/65,/ooSGwWVJRp81ErEH7VmTmVwjoMc.jpg
267a2ee7-0eff-4de0-a529-60880b104341,The Broken Hearts Gallery,2020,60/40,/wGkr4r1e8nubmSNKJpv3HL6sFrA.jpg
e7ee40ef-f0c6-4b4e-ad9e-998927df66ac,The Duff,2015,40/60,
d0b3461e-5a8b-49ac-ae16-afd837ea88d2,The Family Stone,2005,55/45,/hC3dVZz0c0JSlxOss6kedDOcVlu.jpg
daa2559b-244c-42f0-93d2-024ea6b97123,The Five-Year Engagement,2012,65/35,/drsY910CSoSkROYypNVwUxI875T.jpg
da576fce-7a01-429d-b805-599a027f5dc0,The Hating Game,2021,75/25,/prbZxJxGcy07y60eq8lCGMciTYz.jpg
1a28bcee-a4e2-4297-bec6-6340bb0a1dba,The Holiday,2006,85/15,/6fbqG49Q7IWBWdyJ7asNTcNbnG6.jpg
49f4f2f8-dbff-4451-9496-f2b1d87cb165,The Lost City,2022,45/55,/neMZH82Stu91d3iqvLdNQfqPPyl.jpg
c3de7b1d-730c-45f3-8c4b-b13f24564bae,The Lovebirds,2020,50/50,/5jdLnvALCpK1NkeQU1z4YvOe2dZ.jpg
a2460998-a539-4fcd-bd5d-cc389096861b,The Map of Tiny Perfect Things,2021,70/30,/6y3ev0rJFbHA1hU22UPmmfzBjrG.jpg
52477d05-07b6-499a-8953-2e9453db1a8d,The Nanny Diaries,2007,60/40,/8hX6rcxnCidaqegPCyeFm9PODBn.jpg
2051c79a-95ae-40ed-96ce-5ac6c783ed19,The Noel Diary,2022,80/20,/f6mMqxJfAD2Ao4sto7kOq6a7tWg.jpg
f8e28ceb-5d89-4fd6-b80b-a421ca0460f1,The Other Woman,2014,30/70,/yHnbb6z8REuFIyBLT2Nj3MX54dY.jpg
0599c97e-4a3d-4997-b322-795109a06c7b,The Other Zoey,2023,70/30,/rh9fwqA98ufdx9vP7V6lLhfpfk1.jpg
829a1b8b-b922-472b-bb91-d93a2c387c45,The Princess Switch,2018,65/35,/A8XgZE8CsHiYN243MEd07GLCep.jpg
e44b4046-156a-450f-9b15-8ef0876a7229,The Princess Switch: Switched Again,2020,60/40,/e4qXQXXaVYvHBE3Rx5x3qrmxorB.jpg
2ce18946-f6ee-427f-9067-62c299e41174,The Princess Switch: Romancing the Star,2021,55/45,
3a063260-46ff-4f5e-8754-af77d2ab6fb6,The Proposal,2009,50/50,/aEqtJDj8MvSDQwzggvcOfFTZMw.jpg
5cfe690e-4126-42b6-af9a-1d3169bf4fb1,The Valet,2022,45/55,/q7FmdJHKMLIC4XgWfcFRIu2iVdL.jpg
1538c16e-888a-4c78-bc3f-1a6553f82dca,The Wedding Planner,2005,75/25,
bd37a237-0243-45de-b873-4bff53e865dd,The Wedding Singer,1998,40/60,/zVvyTrcZQb7kC2DPDzyo25WcxXp.jpg
cf7c0663-d5c6-4799-ad41-70d86c02bec3,This Is 40,2012,30/70,/mzUuOIFoVkRTHACRb58vm6mkbBN.jpg
01e03a6e-5ee5-4c59-b470-2d4ee7bd0a7c,This Means War,2012,55/45,/7d1hwECRc1NZlGfAeYE42ki7Fem.jpg
e1e4d26e-24b3-4873-a914-ea25992a017d,Ticket to Paradise,2022,60/40,/1tzERH50P5c2mFWtLbgixzLZS1L.jpg
51177f5c-cc52-4666-8bfb-4d185615f041,To All the Boys I've Loved Before,2018,80/20,/hKHZhUbIyUAjcSrqJThFGYIR6kI.jpg
c38369d4-ccbe-49f2-b223-eee65bd890aa,"To All the Boys: Always and Forever, Lara Jean",2021,75/25,
b1b2a32b-882e-47c2-81db-47353974f67b,To All the Boys: P.S. I Still Love You,2020,70/30,/maib5VlmEqp5xlN8lptnBSftp2o.jpg
3494446b-b623-4114-ae81-9649767c06d7,Trainwreck,2015,35/65,/wrY629UTCUAKLJ4CxQXz6DCE7pr.jpg
6fec3e13-45b6-483c-a451-58e4b7a8e268,Two Night Stand,2014,65/35,/rz0YnlHieXP9SBuJU4ANBW8ttIw.jpg
54618074-baba-4965-bf26-98c4de9a626b,Valentine's Day,2010,70/30,/zUsPcR71j1hz3fVwv6kuebyUS9Z.jpg
d48643c6-2701-43a7-a0e0-5ad596e1e4de,Wedding Season,2022,55/45,/mFeXAZ1oOECPqEu8c2i4L5LmNyY.jpg
81e8a95a-f29e-4245-a34f-f6e1ae927014,What A Girl Wants,2003,60/40,
729496f4-39b9-47b5-9dea-053d8a576f92,What Happens in Vegas,2008,45/55,/x3yN37OKHOzqnwa5sum8Ut4nobY.jpg
c150618c-3d52-4f05-8b94-5cc658f1a41b,What Happens Later,2023,50/50,/5TrWftAac3EeMcatyiCdAglWKb6.jpg
796b0d37-fa1a-40cf-bf83-03ca5c58907d,What If,2013,65/35,/67x9NJyjK4u02NpISnChDMKzCUr.jpg
dddeef3b-e5bf-465b-8358-7e6b65b9662d,What's Love Got To Do With It?,2023,75/25,
