Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
73,tt0313737,2013-06-17,2013-06-17,,"Two Weeks Notice","Two Weeks Notice",https://www.imdb.com/title/tt0313737/,Movie,6.1,101,2002,"Comedy, Romance",126657,2002-12-20,"Marc Lawrence"
74,tt0266489,2013-06-17,2013-06-17,,"Duplex","Duplex",https://www.imdb.com/title/tt0266489/,Movie,5.9,89,2003,"Comedy",62893,2003-09-26,"Danny DeVito"
75,tt1230414,2013-06-17,2013-06-17,,"It's Complicated","It's Complicated",https://www.imdb.com/title/tt1230414/,Movie,6.5,120,2009,"Comedy, Drama, Romance",99028,2009-12-25,"Nancy Meyers"
76,tt0094812,2013-06-17,2013-06-17,,"Bull Durham","Bull Durham",https://www.imdb.com/title/tt0094812/,Movie,7.0,108,1988,"Comedy, Romance, Sport",60110,1988-06-15,"Ron Shelton"
77,tt0110737,2013-06-17,2013-06-17,,"Only You","Only You",https://www.imdb.com/title/tt0110737/,Movie,6.5,109,1994,"Comedy, Romance",26047,1994-10-07,"Norman Jewison"
78,tt1093908,2013-06-17,2013-06-17,,"Confessions of a Shopaholic","Confessions of a Shopaholic",https://www.imdb.com/title/tt1093908/,Movie,5.8,104,2009,"Comedy, Romance",83604,2009-02-13,"P.J. Hogan"
79,tt1185416,2013-06-17,2013-06-17,,"When in Rome","When in Rome",https://www.imdb.com/title/tt1185416/,Movie,5.5,91,2010,"Comedy, Romance",64881,2010-01-29,"Mark Steven Johnson"
80,tt0988595,2013-06-17,2013-06-17,,"27 Dresses","27 Dresses",https://www.imdb.com/title/tt0988595/,Movie,6.1,111,2008,"Comedy, Romance",176487,2008-01-18,"Anne Fletcher"
81,tt0244970,2013-06-17,2013-06-17,,"Someone Like You","Someone Like You...",https://www.imdb.com/title/tt0244970/,Movie,6.1,97,2001,"Comedy, Romance",27590,2001-03-30,"Tony Goldwyn"
82,tt0093565,2013-06-17,2013-06-17,,"Moonstruck","Moonstruck",https://www.imdb.com/title/tt0093565/,Movie,7.2,102,1987,"Comedy, Drama, Romance",69644,1988-01-15,"Norman Jewison"
83,tt0104452,2013-06-17,2013-06-17,,"HouseSitter","Housesitter",https://www.imdb.com/title/tt0104452/,Movie,6.2,102,1992,"Comedy, Romance",27105,1992-06-12,"Frank Oz"
84,tt0112697,2013-06-17,2013-06-17,,"Clueless","Clueless",https://www.imdb.com/title/tt0112697/,Movie,6.9,97,1995,"Comedy, Romance",249586,1995-07-19,"Amy Heckerling"
85,tt0091790,2013-06-17,2013-06-17,,"Pretty in Pink","Pretty in Pink",https://www.imdb.com/title/tt0091790/,Movie,6.7,97,1986,"Comedy, Drama, Romance",89733,1986-02-28,"Howard Deutch"
86,tt0160862,2013-06-17,2013-06-17,,"She's All That","She's All That",https://www.imdb.com/title/tt0160862/,Movie,5.9,95,1999,"Comedy, Romance",104664,1999-01-29,"Robert Iscove"
87,tt0113117,2013-06-17,2013-06-17,,"French Kiss","French Kiss",https://www.imdb.com/title/tt0113117/,Movie,6.6,111,1995,"Comedy, Drama, Romance",53533,1995-05-05,"Lawrence Kasdan"
88,tt0092718,2013-06-17,2013-06-17,,"Can't Buy Me Love","Can't Buy Me Love",https://www.imdb.com/title/tt0092718/,Movie,6.8,94,1987,"Comedy, Drama, Romance",42648,1987-08-14,"Steve Rash"
89,tt0124298,2013-06-17,2013-06-17,,"Blast from the Past","Blast from the Past",https://www.imdb.com/title/tt0124298/,Movie,6.7,112,1999,"Comedy, Drama, Romance, Sci-Fi",72352,1999-02-12,"Hugh Wilson"
90,tt0106387,2013-06-17,2013-06-17,,"Benny & Joon","Benny & Joon",https://www.imdb.com/title/tt0106387/,Movie,7.1,98,1993,"Comedy, Drama, Romance",62408,1993-04-16,"Jeremiah S. Chechik"
91,tt0110950,2013-06-17,2013-06-17,,"Reality Bites","Reality Bites",https://www.imdb.com/title/tt0110950/,Movie,6.6,99,1994,"Comedy, Drama, Romance",54126,1994-02-18,"Ben Stiller"
92,tt0272338,2013-06-17,2013-06-17,,"Punch-Drunk Love","Punch-Drunk Love",https://www.imdb.com/title/tt0272338/,Movie,7.3,95,2002,"Comedy, Drama, Romance, Thriller",179575,2002-11-01,"Paul Thomas Anderson"
93,tt0361841,2013-06-17,2013-06-17,,"Little Black Book","Little Black Book",https://www.imdb.com/title/tt0361841/,Movie,5.3,107,2004,"Comedy, Drama, Romance",19110,2004-08-06,"Nick Hurran"
94,tt0120596,2013-06-17,2013-06-17,,"The Bachelor","The Bachelor",https://www.imdb.com/title/tt0120596/,Movie,5.1,101,1999,"Comedy, Romance",19082,1999-11-05,"Gary Sinyor"
95,tt0118556,2013-06-17,2013-06-17,,"Addicted to Love","Addicted to Love",https://www.imdb.com/title/tt0118556/,Movie,6.1,100,1997,"Comedy, Romance",25851,1997-05-23,"Griffin Dunne"
96,tt0094889,2013-06-17,2013-06-17,,"Cocktail","Cocktail",https://www.imdb.com/title/tt0094889/,Movie,5.9,104,1988,"Comedy, Drama, Romance",92617,1988-07-29,"Roger Donaldson"
97,tt0276751,2013-06-17,2013-06-17,,"About a Boy","About a Boy",https://www.imdb.com/title/tt0276751/,Movie,7.1,101,2002,"Comedy, Drama, Romance",192388,2002-05-17,"Chris Weitz, Paul Weitz"
98,tt0360201,2013-06-17,2013-06-17,,"Wimbledon","Wimbledon",https://www.imdb.com/title/tt0360201/,Movie,6.3,98,2004,"Comedy, Romance, Sport",67054,2004-09-17,"Richard Loncraine"
99,tt0089981,2013-06-17,2013-06-17,,"Secret Admirer","Secret Admirer",https://www.imdb.com/title/tt0089981/,Movie,6.5,90,1985,"Comedy, Romance",8135,1985-06-14,"David Greenwalt"
100,tt1216492,2013-06-17,2013-06-17,,"Leap Year","Leap Year",https://www.imdb.com/title/tt1216492/,Movie,6.4,100,2010,"Comedy, Romance",111291,2010-01-08,"Anand Tucker"
