Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
65,tt2452042,2017-12-22,2017-12-22,,"The Peanuts Movie","The Peanuts Movie",https://www.imdb.com/title/tt2452042/,Movie,7.0,88,2015,"Animation, Adventure, Comedy, Drama, Family",50136,2015-11-06,"Steve Martino"
66,tt0486655,2017-12-27,2017-12-27,,"Stardust","Stardust",https://www.imdb.com/title/tt0486655/,Movie,7.6,127,2007,"Adventure, Family, Fantasy, Romance",286723,2007-08-10,"Matthew Vaughn"
67,tt0256380,2018-08-14,2018-08-14,,"Shallow Hal","Shallow Hal",https://www.imdb.com/title/tt0256380/,Movie,6.0,114,2001,"Comedy, Drama, Fantasy, Romance",146003,2001-11-09,"Bobby Farrelly, Peter Farrelly"
68,tt1001526,2018-08-14,2018-08-14,,"Megamind","Megamind",https://www.imdb.com/title/tt1001526/,Movie,7.3,95,2010,"Animation, Action, Adventure, Comedy, Crime, Family, Fantasy, Sci-Fi",299384,2010-11-05,"Tom McGrath"
69,tt1758830,2018-09-11,2018-09-11,,"This Is 40","This Is 40",https://www.imdb.com/title/tt1758830/,Movie,6.2,134,2012,"Comedy, Drama, Romance",151718,2012-12-21,"Judd Apatow"
70,tt0804497,2018-09-11,2018-09-11,,"It's Kind of a Funny Story","It's Kind of a Funny Story",https://www.imdb.com/title/tt0804497/,Movie,7.1,101,2010,"Comedy, Drama, Romance",148949,2010-10-08,"Anna Boden, Ryan Fleck"
71,tt2205697,2018-09-11,2018-09-11,,"Stuck in Love.","Stuck in Love",https://www.imdb.com/title/tt2205697/,Movie,7.2,97,2012,"Comedy, Drama, Romance",92412,2013-05-02,"Josh Boone"
72,tt1638002,2018-09-11,2018-09-11,,"Love, Rosie","Love, Rosie",https://www.imdb.com/title/tt1638002/,Movie,7.1,102,2014,"Comedy, Romance",157096,2014-10-22,"Christian Ditter"
73,tt3152624,2018-09-11,2018-09-11,,"Trainwreck","Trainwreck",https://www.imdb.com/title/tt3152624/,Movie,6.2,125,2015,"Comedy, Drama, Romance",143444,2015-07-17,"Judd Apatow"
74,tt0425123,2018-09-12,2018-09-12,,"Just Like Heaven","Just Like Heaven",https://www.imdb.com/title/tt0425123/,Movie,6.7,95,2005,"Comedy, Drama, Fantasy, Romance",117965,2005-09-16,"Mark Waters"
75,tt0475711,2018-09-12,2018-09-12,,"Sad Movie","Saedeu mubi",https://www.imdb.com/title/tt0475711/,Movie,7.2,108,2005,"Comedy, Drama, Romance",3480,2005-10-21,"Jong-kwan Kwon"
76,tt1488555,2018-09-12,2018-09-12,,"The Change-Up","The Change-Up",https://www.imdb.com/title/tt1488555/,Movie,6.3,112,2011,"Comedy, Fantasy",197172,2011-08-05,"David Dobkin"
77,tt0391304,2019-01-03,2019-01-03,,"A Lot Like Love","A Lot Like Love",https://www.imdb.com/title/tt0391304/,Movie,6.6,107,2005,"Comedy, Drama, Romance",71398,2005-04-22,"Nigel Cole"
78,tt0319061,2019-01-24,2019-01-24,,"Big Fish","Big Fish",https://www.imdb.com/title/tt0319061/,Movie,8.0,125,2003,"Adventure, Drama, Fantasy, Romance",461179,2004-01-09,"Tim Burton"
79,tt4859168,2019-03-19,2019-03-19,,"Then Came You","Then Came You",https://www.imdb.com/title/tt4859168/,Movie,6.9,97,2018,"Comedy, Drama, Romance",13937,2019-02-01,"Peter Hutchings"
80,tt1621830,2019-05-01,2019-05-01,,"Monpura","Monpura",https://www.imdb.com/title/tt1621830/,Movie,8.8,136,2009,"Crime, Drama, Musical, Romance",9314,2009-12-21,"Md. Hafizur Rahman, Giasuddin Selim"
81,tt0345591,2019-06-02,2019-06-02,,"Love Comes Softly","Love Comes Softly",https://www.imdb.com/title/tt0345591/,TV Movie,7.3,88,2003,"Drama, Family, Romance, Western",7048,2003-04-13,"Michael Landon Jr."
82,tt4679210,2019-09-04,2019-09-04,,"Premam","Premam",https://www.imdb.com/title/tt4679210/,Movie,8.3,156,2015,"Comedy, Drama, Romance",24324,2015-06-12,"Alphonse Puthren"
83,tt3668162,2019-09-04,2019-09-04,,"Bangalore Days","Bangalore Days",https://www.imdb.com/title/tt3668162/,Movie,8.3,171,2014,"Comedy, Drama, Romance",23067,2014-05-30,"Anjali Menon"
84,tt0367110,2019-09-04,2019-09-04,,"Swades","Swades: We, the People",https://www.imdb.com/title/tt0367110/,Movie,8.2,189,2004,"Drama, Musical",99185,2004-12-17,"Ashutosh Gowariker"
85,tt6139732,2019-09-13,2019-09-13,,"Aladdin","Aladdin",https://www.imdb.com/title/tt6139732/,Movie,6.9,128,2019,"Adventure, Comedy, Family, Fantasy, Musical, Romance",292810,2019-05-24,"Guy Ritchie"
86,tt1666801,2019-09-25,2019-09-25,,"The DUFF","The Duff",https://www.imdb.com/title/tt1666801/,Movie,6.4,101,2015,"Comedy, Romance",102450,2015-02-20,"Ari Sandel"
87,tt0757157,2020-03-01,2020-03-01,,"A Millionaire's First Love","Baekmanjangja-ui cheot-sarang",https://www.imdb.com/title/tt0757157/,Movie,7.2,116,2006,"Drama, Romance",5421,2006-02-09,"Tae-gyun Kim"
88,tt4273886,2020-03-04,2020-03-04,,"The Beauty Inside","Byuti insaideu",https://www.imdb.com/title/tt4273886/,Movie,7.3,127,2015,"Drama, Fantasy, Romance",8043,2015-09-11,"Jong-Yeol Baek"
89,tt0337563,2020-03-17,2020-03-17,,"13 Going on 30","13 Going on 30",https://www.imdb.com/title/tt0337563/,Movie,6.3,98,2004,"Comedy, Fantasy, Romance",220424,2004-04-23,"Gary Winick"
90,tt0395140,2020-05-07,2020-05-07,,"My Little Bride","Eorin shinbu",https://www.imdb.com/title/tt0395140/,Movie,7.0,115,2004,"Comedy, Drama, Romance",5981,2004-04-02,"Ho-joon Kim"
91,tt0104291,2020-05-26,2020-05-26,,"Forever Young","Forever Young",https://www.imdb.com/title/tt0104291/,Movie,6.3,102,1992,"Drama, Romance, Sci-Fi",50400,1992-12-16,"Steve Miner"
92,tt3799232,2020-08-27,2020-08-27,,"The Kissing Booth","The Kissing Booth",https://www.imdb.com/title/tt3799232/,Movie,5.9,105,2018,"Comedy, Romance",94840,2018-05-11,"Vince Marcello"
93,tt0300051,2021-08-21,2021-08-21,,"Jersey Girl","Jersey Girl",https://www.imdb.com/title/tt0300051/,Movie,6.2,102,2004,"Comedy, Drama, Romance",71383,2004-03-26,"Kevin Smith"
94,tt0111693,2022-07-02,2022-07-02,,"When a Man Loves a Woman","When a Man Loves a Woman",https://www.imdb.com/title/tt0111693/,Movie,6.5,126,1994,"Drama, Romance",23721,1994-05-13,"Luis Mandoki"
95,tt8108202,2022-07-06,2022-07-06,,"Stree","Stree",https://www.imdb.com/title/tt8108202/,Movie,7.5,128,2018,"Comedy, Horror",39033,2018-08-31,"Amar Kaushik"
96,tt15326988,2023-04-28,2023-04-28,,"Ghosted","Ghosted",https://www.imdb.com/title/tt15326988/,Movie,5.8,116,2023,"Action, Adventure, Comedy, Romance",64771,2023-04-21,"Dexter Fletcher"
97,tt1093370,2023-04-28,2023-04-28,,"Jab We Met","Jab We Met",https://www.imdb.com/title/tt1093370/,Movie,7.9,138,2007,"Comedy, Drama, Romance",59538,2007-10-26,"Imtiaz Ali"
98,tt3767372,2024-04-28,2024-04-28,,"Piku","Piku",https://www.imdb.com/title/tt3767372/,Movie,7.6,123,2015,"Comedy, Drama",34336,2015-05-08,"Shoojit Sircar"
