Watched,Title,Year,Holy Grail aka Jas' Top 8 Favorites,Top 22 to Prioritize Watching,Old School Classic,Often Forgotten,Rom-Com Extra Com,More Dram than Com,Can Watch Repeatedly,A Good Cry,Fall / Cozy Vibes,Watchable But Frustrating,A Great Musical Number,Cheesy Goodness,Avengers Assemble!,You Go Girl!,It's Lit(erature),Oh To Be Young & In Love,Coastal Grandmother,Date Night,Wed-Com,Holidate,Watch or Don't... But Don't Prioritize,Where to Stream (Not Updated)
FALSE,The Lost City,2022,,,,,X,,,,,,,X,,,,,,X,,,,Paramount+
FALSE,The Lovebirds,2020,,,,,X,,,,,,,,,,,,,X,,,,Netflix
FALSE,The Map of Tiny Perfect Things,2021,,,,X,,,,,,,,,,,,X,,,,,,Prime Video
FALSE,The Nanny Diaries,2007,,,,X,,,,,,,,,X,X,,,,,,,,PlutoTV
FALSE,The Noel Diary,2022,,,,,,X,,,X,X,,,,,,,,,,,,Netflix
FALSE,The Other Woman,2014,,,,,X,,X,,,,,,,X,,,X,,,,,"Freeform, Hulu (Live)"
FALSE,The Other Zoey,2023,,,,X,,,,,,,,X,,,,X,,,,,,Rent Only
FALSE,The Princess Switch,2018,,,,,,,,,,X,,X,,,,,,,X,X,,Netflix
FALSE,The Princess Switch: Switched Again,2020,,,,,,,,,,X,,X,,,,,,,,X,,Netflix
FALSE,The Princess Switch: Romancing the Star,2021,,,,,,,,,,X,,X,,,,,,,,X,,Netflix
FALSE,The Proposal,2009,X,X,,,X,,X,,X,,,,,,,,,X,X,,,Prime Video
FALSE,The Valet,2022,,,,,X,,,,,,,X,,,,,,X,,,,Hulu
FALSE,The Wedding Date,2005,,,,,,,,,,,,,,,,,,,X,,,Rent Only
FALSE,The Wedding Planner,2005,,,,,,,,,,,,X,,,,,,,X,,,"Hulu (Live), Peacock"
FALSE,The Wedding Singer,1998,,,X,X,,,,,,,X,X,,,,,,,X,,,HBO Max
FALSE,This Is 40,2012,,,,,X,,,,,,,,,X,,,,,,,,Peacock
FALSE,This Means War,2012,,,,,X,,,,,,,X,,X,,,,,,,,Peacock
FALSE,Ticket to Paradise,2022,,X,,,X,,X,,,,,,,,,,,X,X,,,Theaters
FALSE,To All the Boys I've Loved Before,2018,,,,,,,X,,,,,X,,,,X,,,,,,Netflix
FALSE,"To All the Boys: Always and Forever, Lara Jean",2021,,,,,,,,,,,,X,,,,X,,,,,,Netflix
FALSE,To All the Boys: P.S. I Still Love You,2020,,,,,,,,,,,,X,,,,X,,,,,,Netflix
FALSE,Trainwreck,2015,,,,,X,,,,,,X,X,,,,,,X,,,,Hulu (Live)
FALSE,Two Night Stand,2014,,,,X,,,,,,X,,X,,,,,,,,,,Prime Video
FALSE,Two Weeks Notice,2002,,X,X,X,,,,,,,,,,X,,,,,,,,Roku
FALSE,Valentine's Day,2010,,,,,,,,,,,X,X,,,,X,,,,X,,HBO Max
FALSE,Wedding Season,2022,,,,,,,X,,,,,,,,,,,X,,,,Netflix
FALSE,What A Girl Wants,2003,,,,,,,X,,,,X,X,,X,,X,,,,,,Hulu
FALSE,What Happens in Vegas,2008,,,,X,X,,,,,,,,,,,,,X,X,,X,"Peacock, Hulu (Live), Prime Video"
FALSE,What Happens Later,2023,,,,,,X,,,X,,,,,,,,,,,,X,Rent Only
FALSE,What If,2013,,,,X,,,,,,,,X,,,,,,,,,,Prime Video
FALSE,What's Love Got To Do With It?,2023,,,,X,,,,,,,,,,,,,,,X,,,Hulu
FALSE,What Men Want,2019,,,,X,X,,,,,,,,,X,,,,X,,,,Rent Only
FALSE,What's Your Number?,2011,,,,X,,,X,,,,,X,X,,,,,X,,,,Tubi TV
FALSE,When Harry Met Sally,1989,X,X,X,,,,X,,X,,X,,,X,,,,X,,X,,HBO Max
FALSE,When In Rome,2010,,,,X,X,,,,,,,X,,,,,,,,,X,Hulu
,Which Brings Me To You,2023,,,,,,X,,,,,,X,,,,,,,,X,,Rent Only
FALSE,While You Were Sleeping,1995,,X,X,,,,,,X,,,,,,,,,,,X,,Disney+
FALSE,Wimbledon,2004,,,,,,,,,,,,X,X,,,,,,,,X,"Starz, Hulu (Starz)"
FALSE,Working Girl,1988,,X,X,,,,,,,,,,,X,,,,,,,,Starz
FALSE,You Again,2010,,,,X,,,,,,,,,,,,,,,X,,,Disney+
FALSE,You've Got Mail,1998,X,X,X,,,,X,,X,,,,,,,,,,,X,,Hulu
